#potretbdg	lihat
duit	uang
duren	durian
dy	dia
ed	edisi
edan	gila
egp	emang gue pikirin
eike	aku
eke	aku
elo	kamu
elu	kamu
emang	memang
emangnya	memangnya
emejing	amazing
emergency	darurat
emg	memang
emng	memang
emte	makan teman
endah	indah
endak	tidak
engga	tidak
enggak	tidak
enjing	pagi
entar	nanti
envy	iri
enyak	iya
espektasi	ekspektasi
estuning	sungguh
eta	itu
etc	et cetera
ex	mantan
ext	extension
faslitas	fasilitas
faslitasnya	fasilitasnya
fax	facsimile
fb	facebook
fifo	first in first out
finek	finansial ekonomi
flow	aliran
folbek	follow back
folbek	follow balik
from	dari
fwd	diterukan
fyi	sebagai informasi
g	tidak
ga	tidak
gabisa	tidak bisa
gag	tidak
gahar	sangar
gaje	tidak jelas
gak	tidak
gak papa	tidak apaapa
gakpapa	tidak apaapa
gamau	tidak mau
gan	juragan
gandeng	berisik
gapapa	tidak apaapa
gaptek	gagap teknologi
gatau	tidak tahu
gatek	gagap teknologi
gawe	kerja
gax	tidak
gbs	tidak bisa
gda	tidak ada uang
gdbage	gedebage
ge	juga
gebetan	orang yang disuka
geer	gede rasa
geje	tidak jelas
gelo	gila
genk	geng
gepeng	gelandangan dan pengemis
gera	cepat
getho	begitu
geto	begitu
geus	sudah
gg	gang
ghiey	lagi
ghiy	lagi
gi	lagi
gile	gila
giman	gigi mancung
gimana	bagaimana
gini	begini
gino	gigi nongol
gitchu	begitu
gitchu	gitu
gitcyu	begitu
githu	begitu
githu	gitu
gitu	begitu
gj	tidak jelas
gk	tidak
gmana	bagaimana
gmn	bagaimana
gn	begini
gni	begini
goblog	goblok
goblok	bodoh
gokil	gila
golput	golongan putih
gombal	suka merayu
gowes	mengayuh sepeda
gpl	tidak pakai lama
gpny	tidak punya
gr	gede rasa
gretong	gratis
gretongan	gratisan
gt	begitu
gtau	tidak tahu
gtu	begitu
gtw	tidak tahu
gua	saya
gue	saya
guoblok	goblok
guys	temanteman
gw	saya
gws	cepat sembuh
ha	tertawa
hadeuh	aduh
haghaghag	tertawa
haha	tertawa
hakhak	tertawa
hallow	halo
handak	bahan peledak
hankam	pertahanan dan keamanan
hansip	pertahanan sipil
haturnuhun	terimakasih
hawatos	khawatir
hehe	he
hellow	halo
helo	halo
helow	halo
hese	susah
heula	dahulu
heurin	penuh
hey	hai
hi	hai
hingga	sehingga
hlm	halaman
hlng	hilang
hny	hanya
hnya	hanya
hoax	isu bohong
houm	rumah
hoyong	ingin
hr	hari
hrg	harga
hrga	harga
hrs	harus
hrus	harus
htr	terima
hub	hubung
hubad	hubungan angkatan darat
hubdar	perhubungan darat
hubla	perhubungan laut
huff	mengeluh
huft	mengeluh
hum	rumah
humas	hubungan masyarakat
humz	rumah
hungkul	saja
idk	saya tidak tahu
ieu	ini
ilang	hilang
ilfeel	tidak suka
ilfil	tidak suka
imah	rumah
imah2	rumahrumah
imb	ijin mendirikan bangunan
imba	jago sekali
imho	in my humble opinion
imoet	imut
imoetz	imut
info	informasi
informasina	informasinya
item	hitam
itung	hitung
itungan	hitungan
iy	iya
iye	iya
iyo	iya
ja	saja
jablay	jarang dibelai
jadiin	jadikan
jaim	jaga image
jalan	jalan
jamkerja	jam kerja
jancuk	anjing
jayus	tidak lucu
jd	jadi
jdi	jadi
jdikan	jadikan
jem	jam
jeung	dan
jg	juga
jga	juga
jgn	jangan
jgnkan	jangankan
jijay	jijik
jir	anjing
jkt	jakarta
jl	jalan
jl.	jalan
jln	jalan
jln	jalan
jng	jangan
jnj	janji
jomblo	tidak punya pacar
jth	jatuh
jubir	juru bicara
jurdil	jujur adil
jutek	galak
jwb	jawab
k	ke
ka	kakak
kaayaan	keadaan
kab	kabupaten
kabag	kepala bagian
kabeh	semua
kabid	kepala bidang
kabor	kabur
kacian	kasihan
kacrut	kacau
kadit	kepala direktorat
kadiv	kepala divisi
kaga	tidak
kagak	tidak
kaka	kakak
kalo	kalau
kalo	kalau
kamari	kemarin
kampret	sialan
kamsud	maksud
kamtib	keamanan dan ketertiban
kamtibmas	keamanan dan ketertiban masyarakat
kamuh	kamu
kamuwh	kamu
kamyu	kamu
kang	kakak
kanwil	kantor wilayah
kapt	kapten
karna	karena
kasat	kepala satuan
kasian	kasihan
kasubbag	kepala subbagian
kasubbid	kepala subbidang
katrok	kampungan
kau	kamu
kaya	seperti
kayak	seperti
kayanya	kayaknya
kb	kebun
kbakaran	kebakaran
kbar	kabar
kbn	kebun
kbr	kabar
kcian	kasihan
kdu	harus
kebon	kebun
keburu	terlanjur
kec	kecamatan
kec.	kecamatan
kedah	harus
kedubes	kedutaan besar
kejalan	ke jalan
kejurnas	kejuaraan nasional
kek	seperti
kekeuh	keras kepala
keknya	kayaknya
kel	kelurahan
keliatan	kelihatan
kemaren	kemarin
kenapa	mengapa
keneh	masih
kepengen	mau
kepikiran	terpikirkan
kepingin	mau
kepo	mau tahu urusan orang
kepsek	kepala sekolah
kere	tidak punya uang
kesbang	kesatuan bangsa
kesian	kasihan
kesra	kesejahteraan rakyat
ketauan	ketahuan
ketawa	tertawa
ketrima	diterima
keukeuh	keras kepala
keun	kan
kgiatan	kegiatan
khan	kan
kibul	bohong
kibus	kaki busuk
kidul	selatan
kieu	begini
kimpoi	kawin
kircon	kiaracondong
kitu	begitu
kiyeu	begini
kk	kakak
kk	kartu keluarga
kl	kalau
klian	kalian
klianz	kalian
klo	kalau
klompok	kelompok
kloter	kelompok terbang
kls	kelas
kluarga	keluarga
klw	kalau
klwrga	keluarga
km	kamu
kmari	kemari
kmh	bagaimana
kmps	kampus
kmpus	kampus
kmar	kamar
kmarnya	kamarnya
kmr	kamar
kmrnya	kamarnya
kmrn	kemarin
kn	kan
kna	atas
knal	kenal
knl	kenal
knlpot	knalpot
knp	kenapa
knpa	kenapa
kodya	kota madya
kog	kok
komdis	komisi disiplin
komo	bahkan
komp	kompleks
kompi	komputer
komplain	keluhan
komsov	komunis sovyet
komtiong	komunis Tiongkok
kongkow	kumpul bareng temanteman
konjen	konsulat jenderal
kool	norak
kopdar	kopi darat
koq	kok
korbn	korban
korup	korupsi
kpd	kepada
kpn	kapan
kptsan	keputusan
krenz	keren
kresek	plastik
krg	kurang
krik	garing
krm	kirim
krn	karena
krna	karena
kroscheck	crosscheck
ks	kepala sekolah
kt	kita
ktauan	ketahuan
ktmu	ketemu
ktny	katanya
ktr	kantor
ku	oleh
kudu	harus
kukurilingan	kelilingkeliling
kumaha	bagaimana
kuper	kurang pergaulan
kuq	kok
kurangny	kurangnya
kw	imitasi
ky	seperti
kyk	seperti
kykny	kayanya
la	lah
laka	kecelakaan
lam	salam
lamban	lambat
lambreta	lambat
lami	lama
lamp	lampiran
lansia	lanjut usia
lanud	landasan udara
lapas	lembaga pemasyarakatan
latgab	latihan gabungan
lbh	lebih
lbur	libur
lebay	berlebihan
lebet	masuk
leh	boleh
leh	boleh
lekong	lakilaki
lelet	lambat
lemot	lambat
lg	lagi
lgi	lagi
lgkp	lengkap
lgsg	langsung
lht	lihat
liat	lihat
light	lampu
linmas	perlindungan masyarakat
litbang	penelitian dan pengembangan
lmyan	lumayan
lmyn	lumayan
lngkp	lengkap
lo	kamu
loch	loh
loe	kamu
lol	tertawa
lola	lambat berfikir
lolobana	banyaknya
lom	belum
look	lihat
louph	cinta
loupz	cinta
low	kalau
lowh	kamu
lp	lupa
lu	kamu
luber	langsung, umum, bebas, dan rahasia
luchu	lucu
luchuw	lucu
luff	cinta
lum	belum
luph	cinta
luthu	lucu
lw	kamu
lwipanjanglingkar	leuwipanjanglingkar
lwipanjang	leuwipanjang
lwn	lawan
lwt	lewat
maacih	terimakasih
maaciw	terimakasih
mabal	bolos
mabes	markas besar
macem	macam
macemmacem	macammacam
macih	masih
madesu	masa depan suram
maem	makan
maen	main
magabut	makan gaji buta
mahatma	maju sehat bersama
maho	homo
mak	ibu
mak jang	kaget
makasih	terimakasih
maksa	memaksa
maksain	memaksa
malah	bahkan
malem	malam
malu2in	memalukan
mam	makan
mampat	tersumbat
mampet	tersumbat
mamz	makan
maneh	kamu
mang	paman
manies	manis
maniez	manis
maniezt	manis
mantep	mantap
manya	masa
mao	mau
markus	makelar kasus
masi	masih
masukin	masukkan
masy	masyarakat
matak	menyebabkan
mau	mau
mba	mbak
mbl	mobil
melu	ikut
meminimalisir	meminimalkan
mending	lebih baik
meneketehe	mana kutahu
mengapa	mengapa
meni	sangat
mepet	dekat sekali
mgg	minggu
mgkn	mungkin
mgu	minggu
mhn	mohon
miapah	demi apa
migas	minyak dan gas bumi
miker	minuman keras
mikol	minuman beralkohol
milis	mailing list
min	administrator
miras	minuman keras
mjd	menjadi
mksd	maksud
mkan	makan
mkanan	makanan
mkn	makan
mknan	makanan
mlah	malah
mls	malas
mluap	meluap
mmbuat	membuat
mnggnkn	menggunakan
mngkn	mungkin
mnjd	menjadi
mnt	minta
mnurt	menurut
mnylsikn	menyelesaikan
mo	mau
moal	tidak akan
moge	motor gede
mokad	mati
mokat	mati
morning	pagi
moso	masa
mosok	masa
mpe	sampai
mrk	merek
msh	masih
msih	masih
msk	masuk
mskpn	meskipun
mslh	masalah
msng2	masingmasing
mt	makan teman
mtr	motor
muahal	mahal
mubes	musyawarah besar
muker	musyawarah kerja
mulu	melulu
mumet	pusing
mumpung	selagi
mun	jika
muna	munafik
munas	musyawarah nasional
munaslub	musyawarah nasional luar biasa
muntaber	muntah dan berak
musda	musyawarah daerah
musti	mesti
muup	maaf
muupz	maaf
muuv	maaf
mw	mau
n	dan
na	nya
naek	naik
naha	mengapa
nal	kenal
nanam	menanam
nangis	menangis
nanya	bertanya
naon	apa
napa	kenapa
napa	kenapa
napi	narapidana
napol	narapidana politik
napza	narkotika, alkohol, psikotropika, dan zat adiktif
naq	anak
narkoba	narkotika, psikotropika, dan obat terlarang
narsis	bangga pada diri sendiri
nasgor	nasi goreng
nax	anak
nda	tidak
ndak	tidak
ndiri	sendiri
ndut	gendut
ne	ini
negeri	negara
nekolim	neokolonialisme
nekolin	neokolonialisme
nelfon	menelepon
nembak	menyatakan cinta
nga	tidak
ngabis2in	menghabiskan
ngabuburit	menunggu berbuka puasa
ngakak	tertawa
ngaku	mengaku
ngalir	mengalir
ngambek	marah
ngambil	mengambil
ngamen	mengamen
ngampus	pergi ke kampus
ngan	hanya
ngangge	menggunakan
nganggur	tidak punya pekerjaan
ngantri	mengantri
ngapah	kenapa
ngapain	sedang apa
ngaret	terlambat
ngaruh	berpengaruh
ngasih	memberikan
ngawur	berbicara sembarangan
ngebandel	berbuat bandel
ngeceng	kumpul barengbareng
ngegosip	bergosip
ngeh	sadar
ngeklaim	mengklaim
ngekos	tinggal di kos
ngeksis	menjadi eksis
ngelamar	melamar
ngelem	mengelem
ngeles	berkilah
ngeliat	melihat
ngelidur	menggigau
ngemeng	bicara terusterusan
ngerampok	merampok
ngerti	mengerti
ngetem	berhenti
ngga	tidak
nggak	tidak
ngk	tidak
nggk	tidak
ngibul	berbohong
ngikut	ikut
ngiler	mau
nginep	menginap
ngiri	iri
ngisi	mengisi
ngisiin	mengisikan
ngmg	bicara
ngmng	bicara
ngocol	lucu
ngocor	mengalir
ngocorna	mengalirnya
ngomong	bicara
ngomongin	membicarakan
ngubek2	mencaricari
ngumpul	berkumpul
nguras	menguras
ngurus	mengurus
nhn	terimakasih
ni	ini
nice	bagus
nie	ini
niech	nih
nih	ini
nimbrung	ikut serta
nimpa	menimpa
niyh	nih
nkah	nikah
nmor	nomor
nmr	nomor
nnti	nanti
nntn	nonton
nobar	nonton bareng
nomer	nomor
nongkrong	kumpulkumpul
np	now playing
nrp	narapidana
ntah	entah
ntar	nanti
ntar	sebentar
ntn	nonton
nu	yang
nuhun	terimakasih
nuju	sedang
numpuk	bertumpuk
nunggu	menunggu
nutupin	menutupi
nyadap	sadap
nyak	nya
nyampah	membuat sampah
nyari	mencari
nyariin	mencari
nyekar	menyekar
nyiapin	mempersiapkan
nyicil	mencicil
nyiram	menyiram
nyoblos	mencoblos
nyok	ayo
nyokap	ibu
nyuhunkeun	meminta
o/	oleh
ogah	tidak mau
oge	juga
ok	oke
okay	oke
ol	online
omdo	omong doang
ongkir	ongkos kirim
oon	bodoh
oot	out of topic
org	orang
org2	orangorang
orkes	olahraga dan kesehatan
ormas	organisasi masyarakat
ortu	orang tua
ospek	orientasi studi dan pengenalan kampus
otda	otonomi daerah
otre	ok
otw	on the way, sedang di jalan
p	bapak
pa	apa
pa	bapak
pacal	pacar
pahe	paket hemat
pak	bapak
pake	pakai
pakek	pakai
pala	kepala
pami	kalau
panja	panitia kerja
pansus	panitia khusus
pantesan	pantas
pantura	pantai utara
parpol	partai politik
pas2an	paspasan
pasopati	pasupati
pasutri	pasangan suami istri
patas	cepat dan terbatas
payun	depan
pd	pada
pdam	Perusahan daerah air minum
pdhl	padahal
pede	percaya diri
pelatda	pemusatan latihan daerah
pelatnas	pemusatan latihan nasional
pembiaran	dibiarkan
pembokat	pembantu
pemda	pemerintah daerah
pemilu	pemilihan umum
pemkot	pemerintah kota
pemprov	pemerintah provinsi
pemred	pemimpin redaksi
pengen	ingin
penjas	pendidikan jasmani
penmas	pendidikan masyarakat
per3an	pertigaan
perbaikin	perbaiki
perda	peraturan daerah
perek	wanita tuna susila
perhatiin	perhatikan
perkawis	perkara
pertamax	pertama
pesenan	pesanan
pesenin	pesankan
pgang	pegang
pgi	pergi
pi	tapi
pic	gambar
pijetin	pijitkan
pilkada	pemilihan kepala daerah
pimpro	pemimpin proyek
ping	tanggal
pisan	sangat
pisgor	pisang goreng
pjalan	pejalan
pju	penerangan jalan umum
pk	jam
pke	pakai
plat	pelat
plg	paling
pln	perusahaan listrik negara
pm	private message
pmrnth	pemerintah
pns	pegawai negara sipil
pnsnya	pegawai negara sipilnya
pntn	permisi
pny	punya
pnyrangan	penyerangan
pnyrg	penyerang
poek	gelap
polantas	polisi lalu lintas
polwan	polisi wanita
pondasi	fondasi
ponpes	pondok pesantren
ponsel	telepon seluler
pp	pamong praja
pp	pulang pergi
ppa	apa
prg	pergi
priksa	periksa
prjlnan	perjalanan
prkir	parkir
prlu	perlu
prnh	pernah
pro	profesional
psen	pesan
psn	pesan
psr	pasar
pst	pasti
psti	pasti
pswt	pesawat
ptr	putar
puanas	panas
pungli	pungutan liar
punten	permisi
pw	posisi nyaman
qmo	kamu
qmu	kamu
qt	kita
rada	agak
rakor	rapat koordinasi
rambur	rambut
rame	ramai
ranmor	kendaraan bermotor
raport	rapor
rapot	rapor
raskin	rakyat miskin
re	reply
rea	banyak
recomend	rekomen
recommend	rekomen
red	redaksi
ref	referensi
reg	register
rehab	rehabilitasi
rejeki	rezeki
rempong	sulit
rensentatif	representatif
renstra	rencana strategis
repp	balas
reskrim	reserse kriminal
respon	respons
restik	reserse narkotika
retwit	RT
rhs	Rahasia
rhs	rahasia
rmbt	rambut
rmh	rumah
rofl	rolling on the floor laughing
rshs	rumah sakit hasan sadikin
rt@infobdg	rt @infobandung
ru	baru
rudal	peluru kendali
ruko	rumah toko
rumh	rumah
rusun	rumah susun
rusunawa	rumah susun sewa
rutan	rumah tahanan
ruz	terus
rw	Rukun Warga
s4	sempat
sae	bagus
saia	saya
saiank	sayang
sajam	senjata tajam
sakali	sekali
sakedik	sedikit
salting	salah tingkah
saltum	salah kostum
sami	sama
sampe	sampai
sampeyan	anda
samph	sampah
samsek	sama sekali
sanes	bukan
sapa	siapa
sapose	siapa
sareng	bersama
satkorlak	satuan koordinator pelaksana
satpam	satuan pengamanan
satpol	satuan kepolisian
satuju	setuju
sawahna	sawahnya
say	sayang
sayng	sayang
sbb	sebagai berikut
sbg	sebagai
sbgai	sebagai
sbh	sebuah
sblh	sebelah
sblm	sebelum
sbnrny	sebenarnya
scara	secara
scr	secara
sd	sekolah dasar
sdg	sedang
sdgkn	sedangkan
sdh	sudah
sdkt	sedikit
sdn	sekolah dasar negera
sdngkn	sedangkan
se7	setuju
seabrek	banyak
sebelas dua belas	mirip
sebrang	seberang
seeur	banyak
segini	begini
sekjen	sekretaris jenderal
sembako	sembilan bahan pokok
sempak	celana dalam
sempet	sempat
sempet2nya	sempatsempatnya
sendratari	seni drama tari
seprei	seprai
sprai	seprai
sering	sering
sertijab	serah terima jabatan
service	pelayanan
setubuh	setuju
sgt	sangat
sgtunya	segitunya
shg	sehingga
sidak	inspeksi mendadak
siech	sih
sieyh	sih
sikon	situasi dan kondisi
simpedes	simpanan pedesaan
sinetron	sinema elektronik
sip	ok
siramin	siramkan
sis	kakak perempuan
sj	saja
skali	sekali
skalian	sekalian
skarang	sekarang
skl	sekali
sklh	sekolah
sklmpok	sekelompok
skola	sekolah
skrg	sekarang
skt	sakit
skul	sekolah
slalu	selalu
slesai	selesai
slh	salah
slhsatu	salah satu
sll	selalu
slm	salam
slma	selama
slmt	selamat
slsai	selesai
slt	sulit
sma	sama
smbarangan	sembarangan
smoga	semoga
smpah	sampah
smph	sampah
smpt	sempat
smua	semua
smw	semua
smwny	semuanya
sndiri	sendiri
sng	senang
soalnya	karena
soeta	soekarno hatta
sok	biasanya
soljum	sholat jumat
somse	sombong sekali
songong	sombong
sorry	maaf
sory	maaf
sosbud	sosialbudaya
sosek	sosialekonomi
sospol	sosialpolitik
sotoy	sok tahu
sowry	maaf
spa	siapa
spanjang	sepanjang
spd	sepeda
sppa	siapa
sprei	seprai
spray	seprai
sprti	seperti
spt	seperti
spy	supaya
srg	sering
srng	sering
srtfkt	sertifikat
stelah	setelah
stiap	setiap
stiap	setiap
stlh	setelah
stop	hentikan
stopan	setopan
stuju	setuju
subbag	subbagian
sudah	sudah
suk	masuk
sumbangin	sumbangkan
sumpek	sempit
supados	agar
sutralah	sudahlah
sy	saya
syg	sayang
syp	siapa
t4	tempat
tabanas	tabungan pembangunan nasional
tabuh	jam
tajir	kaya
tak	tidak
tapi	tetapi
tar	nanti
tau	tahu
taun	tahun
taw	tahu
tawh	tahu
tb	tubagus
td	tadi
tdi	tadi
tdk	tidak
te2p	tetap
tekor	rugi
telat	terlambat
telefon	telepon
telfon	telepon
telkom	telekomunikasi
telmi	telat berpikir
telp	telepon
telpon	telepon
temen	teman
temen2	temanteman
tengil	menyebalkan
tengok	menjenguk
tepar	terkapar
terangkut	dapat diangkut
terbitin	terbitkan
terimah	terima
terjnyata	ternyata
tertibkaan	tertibkan
tetep	tetap
teu	tidak
tggu	tunggu
tgl	tanggal
tegl	tegal
tgu	tunggu
th	tahun
thanks	terimakasih
thankz	terimakasih
thd	terhadap
thdp	terhadap
thn	tahun
thx	terimakasih
ti	dari
tiasa	bisa
tidak	tidak
tihang	tiang
tilang	bukti pelanggaran
tilpun	telepon
tipi	TV
tipiwan	TVOne
tjebak	terjebak
tkg	tukang
tkp	tempat kejadian perkara
tks	terimakasih
tl	lampu lalu lintas
tlg	tolong
tll	terlalu
tlong	tolong
tlp	telepon
tlpn	telepon
tls	tulis
tman	teman
tmb	trans metro bandung
tmbah	tambah
tmbh	tambah
tmen2	temanteman
tmn	teman
tmn2	temanteman
tmpah	tumpah
tmph	tumpah
tmpt	tempat
tnda	tanda
tngh	tengah
tngu	tunggu
tnh	tanah
tnyta	ternyata
togel	toto gelap
tokai	tai
tokai	tai
tong	tempat
tos	sudah
toserba	toko serba ada
tp	tetapi
tpi	tetapi
tps	tempat pembuangan sampah
tq	terimakasih
trdhulu	terdahulu
trgntg	tergantung
trima	terima
trims	terimakasih
trjd	terjadi
trm	terima
trmksh	terimakasih
trnyt	ternyata
trowongan	terowongan
trs	terus
trus	terus
trutama	terutama
trz	terus
ts	penulis
tsb	tersebut
tst	tahu sama tahu
ttd	tertanda
ttg	tentang
ttp	tetap
tu	itu
tuch	tuh
tuh	itu
tuir	tua
tumaros	tanyakan
tuwh	tuh
tw	tahu
tyap	tiap
u	kamu
u	untuk
u/	untuk
ud	sudah
uda	sudah
udah	sudah
udh	sudah
ujg	ujung
ujung2nya	ujungujungnya
ukrn	ukuran
ul	ulangan
ulah	jangan
ultah	ulang tahun
umk	upah minimum kota
un	ujian negara
unuk	untuk
unyu	lucu
unyu	menggemaskan
upami	kalau
uplot	unggah
uppu	apa
urang	saya
urg	saya
usah	perlu
usiran	usir
utang	hutang
utk	untuk
utul	ujian tertulis
valas	valuta asing
vege	vegetarian
view	pemandangan
vol	volume
w/	dengan
wad	buat
wadir	wakil direktur
wae	saja
wagub	wakil gubernur
wamil	wajib militer
waria	wanita pria
warkop	warung kopi
warnet	warung internet
warteg	warung tegal
wartel	warung telekomunikasi
wat	buat
weh	saja
wengi	malam
wk	tertawa
wkt	waktu
wktu	waktu
wkwk	tertawa
wtf	what the fuck
wth	what the hell
xixixi	tertawa
y	kenapa
y	nya
ya	iya
yaa	iya
yach	iya
